Year,Name,Category
2024,Dick Barnett,Player
2024,Chauncey Billups,Player
2024,Vince Carter,Player
2024,Michael Cooper,Player
2024,Walter Davis,Player
2023,Pau Gasol,Player
2023,Dirk Nowitzki,Player
2023,Tony Parker,Player
2023,Dwyane Wade,Player
2022,Sonny Boswell,Player
2022,Manu Ginobili,Player
2022,Tim Hardaway,Player
2022,Lou Hudson,Player
2022,Inman Jackson,Player
2022,Albert Pullins,Player
2021,Chris Bosh,Player
2021,Bob Dandridge,Player
2021,Clarence Jenkins,Player
2021,Toni Kukoc,Player
2021,Pearl Moore,Player
2021,Paul Pierce,Player
2021,Ben Wallace,Player
2021,Chris Webber,Player
2020,Kobe Bryant,Player
2020,Tim Duncan,Player
2020,Kevin Garnett,Player
2019,Carl Braun,Player
2019,Charles âChuckâ Cooper,Player
2019,Vlade Divac,Player
2019,Bobby Jones,Player
2019,Sidney Moncrief,Player
2019,Jack Sikma,Player
2019,Paul Westphal,Player
2018,Ray Allen,Player
2018,Maurice Cheeks,Player
2018,Grant Hill,Player
2018,Jason Kidd,Player
2018,Steve Nash,Player
2018,Dino Radja,Player
2018,Charlie Scott,Player
2018,Ora Mae Washington,Player
2017,Zack Clayton,Player
2017,George McGinnis,Player
2017,Tracy McGrady,Player
2016,Zelmo Beaty,Player
2016,Allen Iverson,Player
2016,Yao Ming,Player
2016,Shaquille O'Neal,Player
2016,Cumberland Posey,Player
2015,Louie Dampier,Player
2015,Spencer Haywood,Player
2015,John Isaacs,Player
2015,Dikembe Mutombo,Player
2015,Jo Jo White,Player
2014,Sarunas Marciulionis,Player
2014,Alonzo Mourning,Player
2014,Mitch Richmond,Player
2014,Guy Rodgers,Player
2013,Roger Brown,Player
2013,Richie Guerin,Player
2013,Bernard King,Player
2013,Gary Payton,Player
2013,Oscar Schmidt,Player
2012,Mel Daniels,Player
2012,Katrina McClain,Player
2012,Reggie Miller,Player
2012,Ralph Sampson,Player
2012,Chet Walker,Player
2012,Jamaal Wilkes,Player
2011,Artis Gilmore,Player
2011,Chris Mullin,Player
2011,Dennis Rodman,Player
2011,Arvydas Sabonis,Player
2011,Goose Tatum,Player
2010,Dennis Johnson,Player
2010,Gus Johnson,Player
2010,Karl Malone,Player
2010,Maciel Pereira,Player
2010,Scottie Pippen,Player
2009,Michael Jordan,Player
2009,David Robinson,Player
2009,John Stockton,Player
2008,Adrian Dantley,Player
2008,Patrick Ewing,Player
2008,Hakeem Olajuwon,Player
2006,Charles Barkley,Player
2006,Joe Dumars,Player
2006,Dominique Wilkins,Player
2005,Hortencia Marcari,Player
2004,Drazen Dalipagic,Player
2004,Clyde Drexler,Player
2004,Maurice Stokes,Player
2003,Dino Meneghin,Player
2003,Robert Parish,Player
2003,James Worthy,Player
2002,Magic Johnson,Player
2002,Drazen Petrovic,Player
2001,Moses Malone,Player
2000,Bob McAdoo,Player
2000,Isiah Thomas,Player
1999,Kevin McHale,Player
1998,Larry Bird,Player
1998,Marques Haynes,Player
1998,Arnie Risen,Player
1997,Joan Crawford,Player
1997,Alex English,Player
1997,Bailey Howell,Player
1996,Kresimir Cosic,Player
1996,George Gervin,Player
1996,Gail Goodrich,Player
1996,David Thompson,Player
1996,George Yardley,Player
1995,Kareem Abdul-Jabbar,Player
1995,Vern Mikkelsen,Player
1994,Carol Blazejowski,Player
1994,Buddy Jeannette,Player
1993,Walt Bellamy,Player
1993,Julius Erving,Player
1993,Dan Issel,Player
1993,Dick McGuire,Player
1993,Calvin Murphy,Player
1993,Uljana Semjonova,Player
1993,Bill Walton,Player
1992,Sergei Belov,Player
1992,Connie Hawkins,Player
1992,Bob Lanier,Player
1992,Nera White,Player
1991,Tiny Archibald,Player
1991,Dave Cowens,Player
1991,Harry Gallatin,Player
1990,Dave Bing,Player
1990,Elvin Hayes,Player
1990,Neil Johnston,Player
1990,Earl Monroe,Player
1989,Pop Gates,Player
1989,K.C. Jones,Player
1989,Lenny Wilkens,Player
1988,Clyde Lovellette,Player
1988,Wes Unseld,Player
1987,Rick Barry,Player
1987,Walt Frazier,Player
1987,Bob Houbregs,Player
1987,Pete Maravich,Player
1987,Bobby Wanzer,Player
1986,Billy Cunningham,Player
1986,Tom Heinsohn,Player
1985,Al Cervi,Player
1985,Nate Thurmond,Player
1984,John Havlicek,Player
1984,Sam Jones,Player
1983,Bill Bradley,Player
1983,Dave DeBusschere,Player
1983,Jack Twyman,Player
1982,Hal Greer,Player
1982,Slater Martin,Player
1982,Frank Ramsey,Player
1982,Willis Reed,Player
1981,Thomas Barlow,Player
1980,Jerry Lucas,Player
1980,Oscar Robertson,Player
1980,Jerry West,Player
1979,Wilt Chamberlain,Player
1978,Paul Arizin,Player
1978,Joe Fulks,Player
1978,Cliff Hagan,Player
1978,Jim Pollard,Player
1977,Elgin Baylor,Player
1977,William Johnson,Player
1976,Tom Gola,Player
1976,Bill Sharman,Player
1975,Bill Russell,Player
1975,Robert Vandivier,Player
1974,Ernest Schmidt,Player
1973,John Beckman,Player
1973,Dolph Schayes,Player
1972,Paul Endacott,Player
1972,Max Friedman,Player
1971,Bob Cousy,Player
1971,Bob Pettit,Player
1970,Bob Davies,Player
1963,Robert Gruenig,Player
1962,Jack McCracken,Player
1962,Barney Sedran,Player
1962,John (Cat) Thompson,Player
1961,Bernard Borgmann,Player
1961,Forrest DeBernardi,Player
1961,Bob Kurland,Player
1961,Andy Phillip,Player
1961,John Roosma,Player
1961,Christian Steinmetz,Player
1960,Victor Hanson,Player
1960,Ed Macauley,Player
1960,Charles Murphy,Player
1959,Charles Hyatt,Player
1959,Hank Luisetti,Player
1959,George Mikan,Player
1959,John Schommer,Player
